INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-07-23T06:00:00-00:00,2019-07-23T07:00:00-00:00,7/22/2019,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.30593,1
2019-07-22T17:00:00-00:00,2019-07-22T18:00:00-00:00,7/22/2019,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.06141,2
2019-07-23T01:00:00-00:00,2019-07-23T02:00:00-00:00,7/22/2019,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,1.10288,2
2019-07-22T16:00:00-00:00,2019-07-22T17:00:00-00:00,7/22/2019,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.01289,2
2019-07-22T21:00:00-00:00,2019-07-22T22:00:00-00:00,7/22/2019,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-1.08579,2
2019-07-23T00:00:00-00:00,2019-07-23T01:00:00-00:00,7/22/2019,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.45068,2
2019-07-22T22:00:00-00:00,2019-07-22T23:00:00-00:00,7/22/2019,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.46349,2
2019-07-23T03:00:00-00:00,2019-07-23T04:00:00-00:00,7/22/2019,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T07:00:00-00:00,2019-07-22T08:00:00-00:00,7/22/2019,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T12:00:00-00:00,2019-07-22T13:00:00-00:00,7/22/2019,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2019-07-22T14:00:00-00:00,2019-07-22T15:00:00-00:00,7/22/2019,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
